source,station,product,days_checked,valid_days,max_pixels
chesapeake,FLT,viirs4k,31,0,0
chesapeake,FLT,dineof2k,31,31,6
chesapeake,FLT,olci4k,31,8,9
imos,NRSMAI,olci300,31,13,2
chesapeake,GOO,viirs4k,31,3,9
chesapeake,GOO,dineof2k,31,31,9
chesapeake,GOO,olci4k,31,11,9
chesapeake,GYK,viirs4k,31,0,0
chesapeake,GYK,dineof2k,31,31,4
chesapeake,GYK,olci4k,31,5,6
chesapeake,HAD,viirs4k,31,1,1
imos,NRSNSI,olci300,31,14,1
chesapeake,HAD,dineof2k,31,31,9
chesapeake,HAD,olci4k,31,11,9
chesapeake,HAU,viirs4k,31,1,1
chesapeake,HAU,dineof2k,31,31,7
chesapeake,HAU,olci4k,31,12,9
imos,NRSROT,olci300,31,9,1
chesapeake,IPL,viirs4k,31,0,0
chesapeake,IPL,dineof2k,31,31,1
chesapeake,IPL,olci4k,31,5,2
chesapeake,JUG,viirs4k,31,0,0
imos,NRSYON,olci300,31,20,1
chesapeake,JUG,dineof2k,31,31,2
chesapeake,JUG,olci4k,31,5,2
chesapeake,LMN,viirs4k,31,0,0
chesapeake,LMN,dineof2k,31,31,1
chesapeake,LMN,olci4k,31,12,7
chesapeake,MAB,viirs4k,31,0,0
chesapeake,MAB,dineof2k,31,31,8
chesapeake,MAB,olci4k,31,10,6
imos,PH100,olci300,31,20,1
chesapeake,MAT,viirs4k,31,0,0
chesapeake,MAT,dineof2k,31,31,6
chesapeake,MAT,olci4k,31,11,7
chesapeake,MSC,viirs4k,31,0,0
chesapeake,MSC,dineof2k,31,31,8
lake_erie,WE02,olci300,31,12,1
chesapeake,MSC,olci4k,31,8,6
chesapeake,MTI,viirs4k,31,0,0
chesapeake,MTI,dineof2k,31,31,3
chesapeake,MTI,olci4k,31,7,4
chesapeake,NPC,viirs4k,31,2,2
chesapeake,NPC,dineof2k,31,31,7
lake_erie,WE04,olci300,31,11,1
chesapeake,NPC,olci4k,31,9,7
chesapeake,OPC,viirs4k,31,0,0
chesapeake,OPC,dineof2k,31,31,4
chesapeake,OPC,olci4k,31,6,5
chesapeake,PPT,viirs4k,31,0,0
chesapeake,PPT,dineof2k,31,31,4
lake_erie,WE08,olci300,31,7,1
chesapeake,PPT,olci4k,31,8,8
chesapeake,PUB,viirs4k,31,0,0
chesapeake,PUB,dineof2k,31,31,6
chesapeake,PUB,olci4k,31,12,7
chesapeake,RIV,viirs4k,31,0,0
chesapeake,RIV,dineof2k,31,31,4
lake_erie,WE13,olci300,31,12,1
chesapeake,RIV,olci4k,31,5,6
chesapeake,SGC,viirs4k,31,0,0
chesapeake,SGC,dineof2k,31,31,9
chesapeake,SGC,olci4k,31,11,9
chesapeake,SPS,viirs4k,31,2,4
sfbay,LittlePotato,olci300,31,0,0
chesapeake,SPS,dineof2k,31,31,7
chesapeake,SPS,olci4k,31,10,9
chesapeake,SUS,viirs4k,31,0,0
chesapeake,SUS,dineof2k,31,31,7
chesapeake,SUS,olci4k,31,8,8
nerrs,cbm_ip,viirs4k,31,0,0
sfbay,JerseyPoint,olci300,31,0,0
nerrs,cbm_ip,dineof2k,31,31,1
nerrs,cbm_ip,olci4k,31,5,2
nerrs,cbm_mc,viirs4k,31,0,0
nerrs,cbm_mc,dineof2k,31,31,3
nerrs,cbm_mc,olci4k,31,7,4
nerrs,cbm_oc,viirs4k,31,0,0
sfbay,SacAbDCC,olci300,31,0,0
nerrs,cbm_oc,dineof2k,31,31,4
nerrs,cbm_oc,olci4k,31,6,5
nerrs,cbm_rr,viirs4k,31,0,0
nerrs,cbm_rr,dineof2k,31,31,2
nerrs,cbm_rr,olci4k,31,5,2
nerrs,kac_h3,viirs4k,31,5,7
sfbay,CacheSloughLiberty,olci300,31,6,1
nerrs,kac_h3,dineof2k,31,31,9
nerrs,kac_h3,olci4k,31,11,9
nerrs,kac_sd,viirs4k,31,4,3
sfbay,CacheSloughRyer,olci300,31,0,0
nerrs,kac_sd,dineof2k,31,31,9
nerrs,kac_sd,olci4k,31,10,9
nerrs,kac_ss,viirs4k,31,4,3
nerrs,kac_ss,dineof2k,31,31,9
nerrs,kac_ss,olci4k,31,10,9
nerrs,mar_ab,viirs4k,31,2,2
sfbay,DeckerIsland,olci300,31,21,1
nerrs,mar_ab,dineof2k,31,31,6
nerrs,mar_ab,olci4k,31,6,8
nerrs,mar_ce,viirs4k,31,0,0
sfbay,VanSickle,olci300,31,16,1
nerrs,mar_ce,dineof2k,31,31,8
nerrs,mar_ce,olci4k,31,7,9
nerrs,mar_cw,viirs4k,31,0,0
nerrs,mar_cw,dineof2k,31,31,6
nerrs,mar_cw,olci4k,31,7,4
nerrs,mar_sc,viirs4k,31,6,4
sfbay,FirstMallard,olci300,31,0,0
nerrs,mar_sc,dineof2k,31,31,9
nerrs,mar_sc,olci4k,31,8,9
nerrs,mar_mb,viirs4k,31,3,2
nerrs,mar_mb,dineof2k,31,31,9
nerrs,mar_mb,olci4k,31,8,9
nerrs,sos_ch,viirs4k,31,2,3
nerrs,sos_ch,dineof2k,31,31,7
nerrs,sos_ch,olci4k,31,11,8
nerrs,sos_se,viirs4k,31,0,0
nerrs,sos_se,dineof2k,31,31,1
nerrs,sos_se,olci4k,31,8,3
nerrs,sos_va,viirs4k,31,2,1
nerrs,sos_va,dineof2k,31,31,6
nerrs,sos_va,olci4k,31,11,8
nerrs,sos_wi,viirs4k,31,0,0
nerrs,sos_wi,dineof2k,31,31,2
nerrs,sos_wi,olci4k,31,9,6
nerrs,wel_in,viirs4k,31,3,2
nerrs,wel_in,dineof2k,31,31,7
nerrs,wel_in,olci4k,31,5,5
nerrs,wqb_cr,viirs4k,31,4,4
nerrs,wqb_cr,dineof2k,31,31,6
nerrs,wqb_cr,olci4k,31,5,8
nerrs,wqb_mh,viirs4k,31,2,3
nerrs,wqb_mh,dineof2k,31,31,8
nerrs,wqb_mh,olci4k,31,5,6
nerrs,wqb_mp,viirs4k,31,4,4
nerrs,wqb_mp,dineof2k,31,31,4
nerrs,wqb_mp,olci4k,31,5,8
