product,source,station,onsets,obs1,obs3
viirs4k,lake_erie,WE04,20,0.9,0.4
viirs4k,lake_erie,WE08,16,0.875,0.375
viirs4k,lake_erie,WE13,16,0.9375,0.25
olci4k,narragansett,B12,29,0.9655172413793104,0.20689655172413793
olci4k,narragansett,B12w,13,0.8461538461538461,0.38461538461538464
olci4k,narragansett,B13,34,0.8529411764705882,0.29411764705882354
olci4k,narragansett,B14,28,0.8928571428571429,0.17857142857142858
olci4k,narragansett,B2,33,0.8787878787878788,0.30303030303030304
olci4k,narragansett,B3,37,0.8918918918918919,0.1891891891891892
olci4k,narragansett,B3w,18,0.8888888888888888,0.2222222222222222
olci4k,narragansett,B4,25,0.8,0.12
olci4k,narragansett,B6,24,0.875,0.2916666666666667
olci4k,narragansett,B7,27,0.9259259259259259,0.3333333333333333
olci4k,narragansett,F4,25,0.76,0.2
olci4k,narragansett,F5,45,0.8222222222222222,0.15555555555555556
olci4k,narragansett,F7,42,0.9047619047619048,0.19047619047619047
olci4k,chesapeake,AES,93,0.8494623655913979,0.20430107526881722
olci4k,chesapeake,AWS,102,0.8235294117647058,0.20588235294117646
olci4k,chesapeake,GYK,8,0.875,0.25
olci4k,chesapeake,HAD,8,1.0,0.75
olci4k,chesapeake,HAU,5,1.0,0.0
olci4k,chesapeake,IPL,87,0.7816091954022989,0.20689655172413793
olci4k,chesapeake,JUG,44,0.6818181818181818,0.18181818181818182
olci4k,chesapeake,LMN,44,0.9318181818181818,0.2727272727272727
olci4k,chesapeake,MAB,39,0.8717948717948718,0.41025641025641024
olci4k,chesapeake,MSC,74,0.8108108108108109,0.22972972972972974
olci4k,chesapeake,MTI,21,0.6666666666666666,0.19047619047619047
olci4k,chesapeake,NPC,6,0.8333333333333334,0.3333333333333333
olci4k,chesapeake,OPC,33,0.7272727272727273,0.3333333333333333
olci4k,chesapeake,PUB,9,1.0,0.4444444444444444
olci4k,chesapeake,RIV,19,0.8421052631578947,0.2631578947368421
olci4k,chesapeake,SGC,23,0.9565217391304348,0.21739130434782608
olci4k,chesapeake,SPS,20,0.9,0.55
olci4k,chesapeake,SUS,22,0.8181818181818182,0.3181818181818182
olci4k,nerrs,kac_h3,13,0.6923076923076923,0.3076923076923077
olci4k,nerrs,kac_ss,9,1.0,0.4444444444444444
olci4k,cefas_full,wgab2,10,0.9,0.2
olci4k,cefas_full,lbay,16,0.75,0.5
olci4k,imos,NRSDAR,45,0.7555555555555555,0.28888888888888886
olci4k,imos,NRSROT,45,0.9111111111111111,0.3333333333333333
olci4k,imos,NRSYON,27,0.8148148148148148,0.18518518518518517
olci4k,sfbay,LittlePotato,10,0.9,0.5
olci4k,sfbay,JerseyPoint,26,0.9615384615384616,0.4230769230769231
olci4k,sfbay,SacAbDCC,33,0.48484848484848486,0.030303030303030304
olci4k,sfbay,CacheSloughLiberty,20,0.85,0.45
olci4k,sfbay,VanSickle,24,0.7916666666666666,0.625
olci4k,sfbay,FirstMallard,40,0.925,0.425
