source,station,product,days,valid,frac,frac_ffill3
sfbay,SacAbDCC,dineof2k,2191,2010,0.9173893199452305,0.9210406207211319
sfbay,CacheSloughLiberty,dineof2k,2191,2188,0.998630762209037,1.0
sfbay,CacheSloughRyer,dineof2k,153,153,1.0,1.0
sfbay,DeckerIsland,dineof2k,401,401,1.0,1.0
sfbay,VanSickle,dineof2k,2191,2188,0.998630762209037,1.0
chesapeake,HAD,viirs4k,1389,174,0.12526997840172785,0.4175665946724262
chesapeake,HAU,viirs4k,1447,97,0.06703524533517623,0.248790601243953
chesapeake,NPC,viirs4k,1682,170,0.10107015457788347,0.3442330558858502
chesapeake,SPS,viirs4k,2272,380,0.16725352112676056,0.4982394366197183
nerrs,kac_h3,viirs4k,2192,266,0.12135036496350365,0.30155109489051096
nerrs,kac_sd,viirs4k,771,141,0.1828793774319066,0.39040207522697795
nerrs,kac_ss,viirs4k,2334,435,0.18637532133676094,0.4181662382176521
cefas_full,wgab,viirs4k,99,34,0.3434343434343434,0.8181818181818182
cefas_full,wgab2,viirs4k,2267,573,0.25275694750771943,0.5703573003970004
cefas_full,lbay,viirs4k,2228,474,0.2127468581687612,0.5085278276481149
cefas_full,dows,viirs4k,1191,290,0.2434928631402183,0.5659109991603695
imos,NRSDAR,viirs4k,2393,770,0.32177183451734226,0.6673631424989552
imos,NRSMAI,viirs4k,691,227,0.32850940665701883,0.7409551374819102
imos,NRSNSI,viirs4k,1163,473,0.4067067927773001,0.8022355975924333
imos,NRSROT,viirs4k,2396,1137,0.47454090150250416,0.8760434056761269
imos,NRSYON,viirs4k,2398,922,0.38448707256046705,0.8035863219349458
lake_erie,WE02,viirs4k,838,185,0.220763723150358,0.5501193317422435
lake_erie,WE04,viirs4k,881,250,0.28376844494892167,0.6356413166855845
lake_erie,WE08,viirs4k,865,174,0.20115606936416186,0.5202312138728323
lake_erie,WE13,viirs4k,840,218,0.25952380952380955,0.6023809523809524
narragansett,B12,olci4k,1609,425,0.2641392169049099,0.711622125543816
narragansett,B12w,olci4k,958,249,0.2599164926931106,0.6931106471816284
narragansett,B13,olci4k,1610,421,0.26149068322981367,0.7161490683229814
narragansett,B14,olci4k,1609,406,0.25233064014916096,0.7029210689869484
narragansett,B2,olci4k,1609,430,0.26724673710379115,0.728402734617775
narragansett,B3,olci4k,1614,418,0.2589838909541512,0.7162329615861215
narragansett,B3w,olci4k,1305,328,0.25134099616858235,0.696551724137931
narragansett,B4,olci4k,1606,406,0.25280199252801994,0.7023661270236613
narragansett,B6,olci4k,1609,427,0.2653822249844624,0.7228091982597887
narragansett,B7,olci4k,1605,427,0.2660436137071651,0.719626168224299
narragansett,F4,olci4k,1638,336,0.20512820512820512,0.6013431013431013
narragansett,F5,olci4k,1653,360,0.2177858439201452,0.631578947368421
narragansett,F7,olci4k,1653,423,0.2558983666061706,0.7011494252873564
chesapeake,AES,olci4k,1668,384,0.2302158273381295,0.6642685851318945
chesapeake,AWS,olci4k,1668,384,0.2302158273381295,0.6642685851318945
chesapeake,GYK,olci4k,510,128,0.25098039215686274,0.711764705882353
chesapeake,HAD,olci4k,189,64,0.3386243386243386,0.8201058201058201
chesapeake,HAU,olci4k,189,63,0.3333333333333333,0.8253968253968254
chesapeake,IPL,olci4k,1664,345,0.20733173076923078,0.6021634615384616
chesapeake,JUG,olci4k,1664,345,0.20733173076923078,0.6021634615384616
chesapeake,LMN,olci4k,1661,425,0.25586995785671285,0.7146297411198074
chesapeake,MAB,olci4k,1660,456,0.2746987951807229,0.7313253012048193
chesapeake,MSC,olci4k,1661,394,0.23720650210716435,0.674894641782059
chesapeake,MTI,olci4k,1664,371,0.22295673076923078,0.6310096153846154
chesapeake,NPC,olci4k,510,126,0.24705882352941178,0.6980392156862745
chesapeake,OPC,olci4k,1668,398,0.23860911270983212,0.6606714628297362
chesapeake,PUB,olci4k,499,133,0.2665330661322645,0.7394789579158316
chesapeake,RIV,olci4k,1609,405,0.2517091361093847,0.6985705407085147
chesapeake,SGC,olci4k,1621,466,0.2874768661320173,0.7661937075879087
chesapeake,SPS,olci4k,1623,457,0.281577325939618,0.74060382008626
chesapeake,SUS,olci4k,1609,431,0.26786824114356744,0.7240522063393412
